0,[User:47 - Device:1 - Object:1 - BoundingBoxType:0 - time:04/09/2014 12:05:23] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,47,1,1,3,12.4331524372101,12.4331524372101,1,21.8505630493164
1,47,1,1,3,7.37415409088135,19.8073065280914,0,9.61671447753906
1,47,1,1,3,1.52077102661133,21.3280775547028,2,140.255355834961
0,[User:47 - Device:1 - Object:1 - BoundingBoxType:0 - time:04/09/2014 12:07:37] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,47,1,1,3,22.7491912841797,22.7491912841797,1,21.7628879547119
1,47,1,1,3,12.5692291259766,35.3184204101563,0,6.00944232940674
1,47,1,1,3,21.4905738830566,56.8089942932129,0,13.8774099349976
1,47,1,1,3,4.38092803955078,61.1899223327637,0,11.0487089157104
1,47,1,1,3,7.22541809082031,68.415340423584,0,13.8157033920288
1,47,1,1,3,9.81543731689453,78.2307777404785,1,27.5959796905518
1,47,1,1,3,7.47641754150391,85.7071952819824,0,7.38313913345337
1,47,1,1,3,12.1575698852539,97.8647651672363,0,16.1736450195313
1,47,1,1,3,20.6547698974609,118.519535064697,0,10.3681240081787
1,47,1,1,3,11.1877136230469,129.707248687744,0,15.1935033798218
1,47,1,1,3,9.01289367675781,138.720142364502,0,8.3825798034668
1,47,1,1,3,8.61331176757813,147.33345413208,0,10.0343151092529
0,[Device Ends At04/09/2014 12:10:15 -- Overall Times ] 147.33345413208[Overall error] 161.645438671112  ,,,,,,,,
0,[User:47 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/09/2014 12:19:47] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,47,0,0,3,16.6738243103027,16.6738243103027,1,28.7800788879395
1,47,0,0,3,27.4942607879639,44.1680850982666,1,32.9448547363281
1,47,0,0,3,7.44140625,51.6094913482666,1,18.4773483276367
1,47,0,0,3,16.3092384338379,67.9187297821045,0,5.53959512710571
1,47,0,0,3,9.56145477294922,77.4801845550537,0,12.4915218353271
1,47,0,0,3,6.37103271484375,83.8512172698975,0,13.2332048416138
1,47,0,0,3,6.87326049804688,90.7244777679443,0,12.5588932037354
