0,[User:63 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/11/2014 22:30:38] :: -  ,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,63,4,1,1,9.190068245,9.190068245,0,5.085671902
1,63,4,1,1,38.701931,47.89199924,0,12.56663418
1,63,4,1,1,14.04511642,61.93711567,1,17.97730827
1,63,4,1,1,30.51952362,92.45663929,0,11.45886803
1,63,4,1,1,8.901016235,101.3576555,1,25.03147316
1,63,4,1,0,10.95096588,112.3086214,2,34.64870834
1,63,4,1,0,14.4148941,126.7235155,1,26.49177742
1,63,4,1,1,5.334442139,132.0579576,0,4.593561172
1,63,4,1,0,7.860366821,139.9183245,0,10.04703808
1,63,4,1,0,3.996643066,143.9149675,0,8.973185539
1,63,4,1,0,7.110397339,151.0253649,1,18.00421906
1,63,4,1,0,8.209457397,159.2348223,0,11.96791649
0,[Device Ends At04/11/2014 22:33:27 -- Overall Times ] 159.234822273254[Overall error] 186.846361637115  ,,,,,,,
0,[User:63 - Device:4 - Object:0 - BoundingBoxType:0 - time:04/11/2014 22:30:38] :: -  ,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,63,4,0,1,9.190068245,9.190068245,0,5.085671902
1,63,4,0,1,38.701931,47.89199924,0,12.56663418
1,63,4,0,1,14.04511642,61.93711567,1,17.97730827
1,63,4,0,1,30.51952362,92.45663929,0,11.45886803
1,63,4,0,1,8.901016235,101.3576555,1,25.03147316
1,63,4,0,0,10.95096588,112.3086214,2,34.64870834
1,63,4,0,0,14.4148941,126.7235155,1,26.49177742
1,63,4,0,1,5.334442139,132.0579576,0,4.593561172
1,63,4,0,0,7.860366821,139.9183245,0,10.04703808
1,63,4,0,0,3.996643066,143.9149675,0,8.973185539
1,63,4,0,0,7.110397339,151.0253649,1,18.00421906
1,63,4,0,0,8.209457397,159.2348223,0,11.96791649
0,[Device Ends At04/11/2014 22:33:27 -- Overall Times ] 159.234822273254[Overall error] 186.846361637115  ,,,,,,,
0,[User:63 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/11/2014 22:47:05] :: -  ,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,63,0,0,1,7.489839554,7.489839554,0,8.912208557
1,63,0,0,1,8.349485397,15.83932495,0,16.39025879
1,63,0,0,0,10.68357658,26.52290154,0,6.639075756
1,63,0,0,0,6.824314117,33.34721565,0,9.813922882
1,63,0,0,0,9.780704498,43.12792015,0,4.366025448
1,63,0,0,1,8.730522156,51.85844231,0,9.388632774
1,63,0,0,1,12.61966705,64.47810936,0,8.785422325
1,63,0,0,0,14.45526886,78.93337822,0,7.811905861
1,63,0,0,0,7.291542053,86.22492027,0,11.71082687
1,63,0,0,1,6.088912964,92.31383324,0,13.49593258
1,63,0,0,1,6.371047974,98.68488121,0,7.860784531
1,63,0,0,0,5.689086914,104.3739681,0,8.930125237
0,[Device Ends At04/11/2014 22:48:59 -- Overall Times ] 104.37396812439[Overall error] 114.105121612549  ,,,,,,,
0,[User:63 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/11/2014 22:47:05] :: -  ,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,63,0,1,1,7.489839554,7.489839554,0,8.912208557
1,63,0,1,1,8.349485397,15.83932495,0,16.39025879
1,63,0,1,0,10.68357658,26.52290154,0,6.639075756
1,63,0,1,0,6.824314117,33.34721565,0,9.813922882
1,63,0,1,0,9.780704498,43.12792015,0,4.366025448
1,63,0,1,1,8.730522156,51.85844231,0,9.388632774
1,63,0,1,1,12.61966705,64.47810936,0,8.785422325
1,63,0,1,0,14.45526886,78.93337822,0,7.811905861
1,63,0,1,0,7.291542053,86.22492027,0,11.71082687
1,63,0,1,1,6.088912964,92.31383324,0,13.49593258
1,63,0,1,1,6.371047974,98.68488121,0,7.860784531
1,63,0,1,0,5.689086914,104.3739681,0,8.930125237
0,[Device Ends At04/11/2014 22:48:59 -- Overall Times ] 104.37396812439[Overall error] 114.105121612549  ,,,,,,,
0,[User:63 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/11/2014 22:55:42] :: -  ,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,63,1,0,0,15.48043156,15.48043156,0,10.39507484
1,63,1,0,0,20.554842,36.03527355,0,10.47214794
1,63,1,0,1,7.95514679,43.99042034,0,15.51033878
1,63,1,0,0,5.417415619,49.40783596,1,20.25074387
1,63,1,0,1,13.36502075,62.77285671,0,9.244819641
1,63,1,0,0,8.995246887,71.7681036,0,5.456283092
1,63,1,0,1,17.79472351,89.56282711,0,12.64353561
1,63,1,0,0,12.64231873,102.2051458,0,10.96509933
