0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 14:40:36] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,7.95697665214539,7.95697665214539,1,24.7721369139031
1,16,0,0,0,1.57045650482178,9.52743315696716,1,17.2957682510696
1,16,0,0,0,2.12637901306152,11.6538121700287,0,14.9948621521136
1,16,0,0,1,39.5578174591064,51.2116296291351,1,20.9743041859777
1,16,0,0,0,1.70346450805664,52.9150941371918,0,14.3920588009877
1,16,0,0,0,1.89127731323242,54.8063714504242,0,11.8678009282754
1,16,0,0,0,1.18731689453125,55.9936883449554,1,19.2597586693842
1,16,0,0,1,2.9093132019043,58.9030015468597,0,10.4931950071454
1,16,0,0,1,2.82599639892578,61.7289979457855,0,5.37924957127687
1,16,0,0,1,2.1912956237793,63.9202935695648,0,9.45610363350156
1,16,0,0,1,2.60745239257813,66.5277459621429,0,5.33456277297139
1,16,0,0,0,2.56184387207031,69.0895898342133,0,16.1934208098406
0,[Device Ends At04/02/2014 14:58:43 -- Overall Times ] 69.0895898342133,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 14:58:48] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,7.7791702747345,7.7791702747345,0,11.5454004082787
1,16,0,0,0,2.09491062164307,9.87408089637756,0,11.2906901676487
1,16,0,0,0,2.13475513458252,12.0088360309601,1,28.3535244400358
1,16,0,0,1,5.50337028503418,17.5122063159943,0,8.48059462026261
1,16,0,0,0,1.83963966369629,19.3518459796906,0,8.67845314646748
1,16,0,0,0,2.49634552001953,21.8481914997101,0,9.66522061524796
1,16,0,0,0,2.10116386413574,23.9493553638458,0,3.05316044816041
1,16,0,0,1,6.58956909179688,30.5389244556427,0,9.27476594960341
1,16,0,0,1,4.46554374694824,35.0044682025909,0,8.24461711547207
1,16,0,0,1,5.1505012512207,40.1549694538116,0,8.91894728634013
1,16,0,0,1,2.93255233764648,43.0875217914581,0,15.3327145959364
1,16,0,0,0,2.33565139770508,45.4231731891632,0,9.68606925792084
0,[Device Ends At04/02/2014 14:59:35 -- Overall Times ] 45.4231731891632,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 14:59:53] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,3.29895198345184,3.29895198345184,1,22.1061277954348
1,16,0,0,0,2.00814580917358,5.30709779262543,2,37.3493369477601
1,16,0,0,0,3.09415149688721,8.40124928951263,2,35.3042146983597
1,16,0,0,1,3.29938983917236,11.700639128685,0,7.67384402713586
1,16,0,0,0,2.18457317352295,13.8852123022079,0,14.620833826411
1,16,0,0,0,1.89235687255859,15.7775691747665,1,20.052876859814
1,16,0,0,0,3.19217872619629,18.9697479009628,0,13.2879306363831
1,16,0,0,1,5.27074813842773,24.2404960393906,0,6.58870671670121
1,16,0,0,1,3.65849113464355,27.8989871740341,0,11.9146059865601
1,16,0,0,1,3.09456443786621,30.9935516119003,0,11.567610829876
1,16,0,0,1,2.92940521240234,33.9229568243027,1,23.3334660829117
1,16,0,0,0,3.50857543945313,37.4315322637558,0,6.66257327426365
0,[Device Ends At04/02/2014 15:00:33 -- Overall Times ] 37.4315322637558,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 15:00:39] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,3.964959025383,3.964959025383,0,12.1518746411885
1,16,0,0,0,1.33557987213135,5.30053889751434,0,5.58303882294575
1,16,0,0,0,3.07950115203857,8.38004004955292,0,15.648329139065
1,16,0,0,1,3.64449691772461,12.0245369672775,0,5.09359704407674
1,16,0,0,0,4.13029384613037,16.1548308134079,0,13.9440806777034
1,16,0,0,0,2.42799377441406,18.582824587822,0,13.2357800761198
1,16,0,0,0,1.71869659423828,20.3015211820602,0,8.46020689451757
1,16,0,0,1,3.81734275817871,24.118863940239,1,21.8677004206986
1,16,0,0,1,4.05985641479492,28.1787203550339,0,12.6338614219418
1,16,0,0,1,5.65348625183105,33.8322066068649,0,4.03222244222758
1,16,0,0,1,2.94332122802734,36.7755278348923,0,7.83850521152646
1,16,0,0,0,2.00590515136719,38.7814329862595,0,15.9386877580773
0,[Device Ends At04/02/2014 15:01:19 -- Overall Times ] 38.7814329862595,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 15:01:37] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,3.72096014022827,3.72096014022827,0,14.460019807111
1,16,0,0,0,0.78516674041748,4.50612688064575,1,17.2054722386574
1,16,0,0,0,2.97756099700928,7.48368787765503,0,8.15057386509847
1,16,0,0,1,2.66036319732666,10.1440510749817,0,15.4677364386115
1,16,0,0,0,1.53663349151611,11.6806845664978,0,16.5376905552373
1,16,0,0,0,4.33215427398682,16.0128388404846,0,15.4301315097064
1,16,0,0,0,1.74101638793945,17.7538552284241,0,14.2237812548123
1,16,0,0,1,5.11451721191406,22.8683724403381,0,10.0118615057017
1,16,0,0,1,6.12066078186035,28.9890332221985,0,8.2823257274008
1,16,0,0,1,2.79420471191406,31.7832379341125,0,8.65846488655938
1,16,0,0,1,2.81022644042969,34.5934643745422,1,25.4989267249591
1,16,0,0,0,2.22619247436523,36.8196568489075,0,12.6674390877187
0,[Device Ends At04/02/2014 15:02:16 -- Overall Times ] 36.8196568489075,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 15:34:20] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,3.92303705215454,3.92303705215454,1,27.9365174504071
1,16,0,0,0,1.10147714614868,5.02451419830322,1,32.337824935312
1,16,0,0,0,2.1230583190918,7.14757251739502,1,19.6196749534658
1,16,0,0,1,5.82015609741211,12.9677286148071,0,9.36968294277552
1,16,0,0,0,1.14164257049561,14.1093711853027,0,7.80612965542848
1,16,0,0,0,1.76898193359375,15.8783531188965,1,19.3082724697925
1,16,0,0,0,3.57879257202148,19.457145690918,1,17.6091110457204
1,16,0,0,1,2.99372100830078,22.4508666992188,0,8.09272126296672
1,16,0,0,1,3.88589477539063,26.3367614746094,0,3.70939884587657
1,16,0,0,1,3.55576324462891,29.8925247192383,1,22.2428388203327
1,16,0,0,1,4.21479415893555,34.1073188781738,0,7.70396458106785
1,16,0,0,0,2.6923942565918,36.7997131347656,0,4.43290148871858
0,[Device Ends At04/02/2014 15:34:58 -- Overall Times ] 36.7997131347656,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 15:35:14] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,4.42316806316376,4.42316806316376,1,21.9672422872238
1,16,0,0,0,2.50736904144287,6.93053710460663,0,12.2793938160212
1,16,0,0,0,1.92400741577148,8.85454452037811,2,46.0892889080225
1,16,0,0,1,5.27229499816895,14.1268395185471,0,5.87423516347478
1,16,0,0,0,1.97091865539551,16.0977581739426,0,10.8430885852752
1,16,0,0,0,2.57425498962402,18.6720131635666,0,13.0103600215512
1,16,0,0,0,2.36014366149902,21.0321568250656,0,13.4142131338819
1,16,0,0,1,2.52181625366211,23.5539730787277,0,3.20241727418126
1,16,0,0,1,3.25037002563477,26.8043431043625,0,3.78315440938245
1,16,0,0,1,2.23836135864258,29.0427044630051,0,8.02564283370323
1,16,0,0,1,4.28155326843262,33.3242577314377,0,3.78950234930801
1,16,0,0,0,2.08870315551758,35.4129608869553,0,4.57157360884841
0,[Device Ends At04/02/2014 15:35:51 -- Overall Times ] 35.4129608869553,,,,,,,,
0,[User:16 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/02/2014 16:10:39] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,0,1,3.13175880908966,3.13175880908966,1,32.4311237223226
1,16,0,0,0,1.24991416931152,4.38167297840118,1,19.9396722734934
1,16,0,0,0,2.22575664520264,6.60742962360382,0,8.22764294642227
1,16,0,0,1,4.14998531341553,10.7574149370193,1,19.9140606640471
